"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",10412232620.5258,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",11713348834.3069,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",12989649694.2812,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",14283872299.0456,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",15833133857.628101,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",16780226225.085,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",18019402373.5388,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",19397044714.0963,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",20712102793.8026,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",22442043274.074,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",24998066773.3821,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",30040171750.6471,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",36844318854.2403,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",49550006319.5147,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",57103011445.6416,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",65466081819.2384,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",68476524643.943,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",73135771167.048,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",102280472035.794,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",114970094424.731,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",122557843886.137,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",112244805518.786,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",115043365512.486,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",114634358534.61,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",109455312167.511,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",110980314191.527,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",159089921062.872,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",199236370037.554,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",215540625298.982,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",208105846934.409,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",265763573999.42404,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",268901693863.319,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",279921425828.474,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",272237527070.92603,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",301375055202.164,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",352835806342.495,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",340103959546.926,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",294788198856.198,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",303459014346.806,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",297873643323.126,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",279216033870.204,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",286582672434.226,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",309301422430.386,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",362075086507.76,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",403912891033.374,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",418284865884.998,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",441634672196.523,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",490740715594.80194,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",567267767519.158,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",554212916092.271,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",598851028906.58,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",715888126682.396,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",686420221557.99,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",706234937370.968,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",726537808338,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",694118186379.628,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",687895460902.713,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",695200833086.499,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",725568717468.001,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",721369112726.724,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",741999406005.627,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",813408787222.499,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",818426550206.45,"Nominal GDP"
"country/CHE","CH","Switzerland","Amount_EconomicActivity_GrossDomesticProduction_Nominal","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",884940402230.409,"Nominal GDP"